"KeySite",,"TaxUnit",,"Timeslice","Coordinates",,"Dating","Dating method","Quality of dating","Site type","Site stratification","Assemblage position","Assemblage coherence","Site faunal remains","Year of excavation","Literature","Availability of Armature Outlines",,,,"Availability of Endscraper Outlines",,,,"Availability of Borer Outlines",,,,,,
"Westertimke Fpl. 69",,"Federmesser ","Feder_NG","1,2,3",9.133,53.239,"15000-13000","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Gerken 2001",,,,,,,,,,,,,"Northern Germany","NG",
"Sassenholz 82",,"Brommean","Brom_NG",2,9.311,53.35,"15000-13000","Typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","1980-2000","Breest and Gerken 2008",,"x",,,,"x",,,,,,,"Northern Germany","NG",
"Sassenholz 78",,"Brommean","Brom_NG",2,9.311,53.35,"15000-13000","Typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","1980-2000","Breest and Gerken 2008",,"x",,,,,,,,,,,"Northern Germany","NG",
"Alt Duvenstedt LA 121",,"Ahrensburgian","Ahr_NG",3,9.646,54.357,"11500-11000","Geology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Clausen 1996",,,,,,,,,,,,,"Northern Germany","NG",
"Bierden 30 & 31",,"Maglemose","Magle_NG",4,9.007,53.016,"12000-11000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Gerken 2011",,,,,,,,,,,,,"Northern Germany","NG",
"Helga-Abri","IIId-IIF7","Late/Transitional Magdalenian ","TransMag_SG",1,9.75384,48.378886,"15,000-14,300","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Hahn and Scheer 1983,Hess 2019","x",,,,,,,,,,,,"Southern Germany","SG",
"Zigeunerfels (Schicht F)","H/I-F","Late/Transitional Magdalenian ","TransMag_SG",1,9.159282,48.087509,"14,700-14,300","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Taute 1972,Hornauer-Jahnke and Noack 2019","x",,,,"x",,,,"x",,,,"Southern Germany","SG",
"Felsställe","IIIb-IIIa","Late/Transitional Magdalenian ","TransMag_SG",1,9.651667,48.281944,"15,000-14,500","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Kind 1987","x",,,,,,,,,,,,"Southern Germany","SG",
"Abri Schweizersbild","Untere Fundschicht","Late Magdalenian/Technokomplex E","LMagTKE_CH",1,8.640156,47.723933,"15,500-14,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","Before WW2","Höneisen and Peyer 1994","x",,,,"x",,,,"x",,,,"Switzerland","CH",
"Hauterive-Champréveyres (secteur 1)","secteur 1","Older Azilian","EAzil_CH",1,6.971148,47.007249,14.3,"C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Leesch et al. 2004","x",,,,"x",,,,"x",,,,"Switzerland","CH",
"Neuchâtel-Monruz (secteur 1)","secteur 2","Older Azilian","EAzil_CH",1,6.960661,47.003517,14.3,"C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Leesch et al. 2004","x",,,,,,,,,,,,"Switzerland","CH",
"Birseck-Ermitage (Obere Fundschicht)","Obere Fundschicht","Older Azilian","EAzil_CH","1,2",7.630317,47.491085,"14,3-13,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","Before WW2","Sarasin 1913,Sedlmeier 2015",,,,,,,,,,,,,"Switzerland","CH",
"Abri Neumühle","Obere Schuttschicht (Schicht 1)","Older Azilian","EAzil_CH","1,2",7.327545,47.43983,"14,600-13,200","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Sedlmeier 2015","x","x",,,"x","x",,,"x","x",,,"Switzerland","CH",
"Grotte de Bichon","n/a","Older Azilian","EAzil_CH","2,3",6.849723,47.149998,"13,900-12,900","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Chauvière 2008",,"x","x",,,,,,,,,,"Switzerland","CH",
"Zigeunerfels (Schicht E,Schicht D)","E, D","Late Palaeolithic","LPal_SG","2,3",9.159282,48.087509,"13,900-12,700","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Taute 1972",,"x",,,,,,,,,,,"Southern Germany","SG",
"Seeberg-Fürsteiner ","n/a","Fazies Fürsteiner","Fuerst_CH","2,3,4",7.660151,47.165601,"13,400-11,700","Typology,Environment","Problematic","Openair","Surface","Secondary/relocated","Mixed","Preseved","Before WW2","Wyss 1952",,"x","x","x",,"x","x","x",,,,,"Switzerland","CH",
"Abri Wachtfels (Untere Fundschicht)","Untere Fundschicht","Younger Azilian","LAzil_CH",3,7.571189,47.439615,"13,000-12,600","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","Before WW2","Sedlmeier 2015",,,"x",,,,"x",,,,,,"Switzerland","CH",
"Muttenz","n/a","Younger Azilian","LAzil_CH",3,7.641065,47.5186,"13,00-12,600","Typology,Environment","Reliable","Openair","Stratified","Secondary/relocated","Homogeneous","Preseved","1950-1980","Sedlmeier 2015",,,,,,,,,,,,,"Switzerland","CH",
"Sarching83 ","n/a","Late Palaeolithic","LPal_SG",3,12.247589,49.01654,"13,000-12,700 ","Typology,Environment","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Heinen 2005",,,,,,,,,,,,,"Southern Germany","SG","Site auch in Posch Datensatz (sollte jetzt nichtmehr gedoppelt vorkommen, aber nochmal checken!)"
"Bad Buchau-Kappel","n/a","Late Palaeolithic ","LPal_SG","3,4",9.594835,48.06538,"12,700-11,700 ","C14,Environment","Reliable","Openair","Stratified","Primary/insitu","Mixed","Preseved","After 2000","Jochim et al. 2015 ",,,"x","x",,,,,,,,,"Southern Germany","SG",
"Fürth-Atzenhof","n/a","Atzenhofer group","Atzen_SG","3,4",10.955379,49.50823,"12,900-11,700","Typology,Environment","Problematic","Openair","Surface","Primary/insitu","Mixed","Preseved","1950-1980","Schönweiß 1974",,,"x","x",,,,,,,,,"Southern Germany","SG",
"Altenberg","n/a","Atzenhofer group","Atzen_SG","3,4",10.979523,49.442852,"12,900-11,700","Typology,Environment","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1950-1980","Schönweiß 1982",,,,"x",,,"x","x",,,,,"Southern Germany","SG",
"Jägerhaushöhle (Schicht 13)",13,"Beuronian A","BeurA_SG",4,8.96594,48.031201,11,"C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Taute 1971",,,,"x",,,,,,,,,"Southern Germany","SG",
"Haspelmoor","n/a","Beuronian A ","BeurA_SG",4,11.115115,48.216607,"11,500-11,000","Typology,Environment","Reliable","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Graf 2015",,,,"x",,,,,,,,,"Southern Germany","SG",
"Gampelen Jänet 3","Schicht 4","Early Mesolithic I ","EMeso_CH",4,7.064902,47.012282,"11,500-11,000","Typology,Environment","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Nielsen 1991",,,,"x",,,,,,,,,"Switzerland","CH",
"Abri Vionnaz","Couche 11-9.3","Early Mesolithic I ","EMeso_CH",4,6.90619,46.295675,"11,800-11,000 ","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Chaix et al. 2003",,,,"x",,,,,,,,,"Switzerland","CH",
"Pont d'Ambon (c4)",,"Early Azilian","EAzil_SWF",1,0.5383,45.3012,"bad date","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Célérier 1993,1998","x",,,,,,,,,,,,"Western France","SWF",
"Murat (UA2)",,"Early Azilian","EAzil_SWF",1,1.5705,44.8039,"12,500-12,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Lorblanchet 1985,1996","x",,,,"x",,,,,,,,"Western France","SWF",
"Bois Ragot (niv.4)",,"Early Azilian","EAzil_SWF","1,2",0.4156,46.2307,"bad date","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Chollet and Dujardin 2005","x","x",,,"x","x",,,"x","x",,,"Western France","SWF",
"Rocher de l'Impératrice",,"Early Azilian","EAzil_SWF","1,2",-4.375583,48.389083,"12,500-12,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","No","After 2000","Naudinot et al. 2017,2018",,,,,"x","x",,,"x","x",,,"Western France","SWF",
"Pont d'Ambon (c2)",,"Early Laborian","ELab_SWF","3,4",0.5383,45.3012,"bad date","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Célérier 1993,1998",,,"x","x",,,,,,,,,"Western France","SWF",
"Malaurie",,"Early Laborian","ELab_SWF","3,4",1.5719,44.8033,"10,500-10,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Unpublished",,,"x","x",,,"x","x",,,,,"Western France","SWF",
"Port-de-Penne",,"Early Laborian","ELab_SWF",4,0.8045,44.3952,"10,500-10,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Langlais et al. 2014,2020",,,"x","x",,,"x","x",,,,,"Western France","SWF",
"Pont d'Ambon (c3)",,"Late Azilian","LAzil_SWF","2,3",0.5383,45.3012,"bad date","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Célérier 1993,1998",,"x","x",,,"x","x",,,,,,"Western France","SWF",
"Les Prises",,"Late Azilian","LAzil_SWF","2,3",0.2726,45.4804,"na","Undated",,"Openair","Stratified","Primary/insitu","Mixed","No","After 2000","Naudinot 2010",,"x","x",,,"x","x",,,,,,"Western France","SWF",
"Bois Ragot (niv.3)",,"Late Azilian","LAzil_SWF","2,3",0.4156,46.2307,"bad date","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Chollet and Dujardin 2005",,"x","x",,,"x","x",,,,,,"Western France","SWF",
"Les Chaloignes",,"Late Azilian","LAzil_SWF","2,3",0.3326,47.2306,"na","Undated",,"Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Marchand et al. 2008,2009,2011",,"x","x",,,"x","x",,,,,,"Western France","SWF",
"Peyrazet (c1-2)",,"Late Laborian","LLab_SWF",4,1.6108,44.9017,"10,000-9,500","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Langlais et al. 2015",,,,"x",,,,"x",,,,,"Western France","SWF",
"Cuze de Sainte Anastasie",,"Late Laborian","LLab_SWF",4,2.9765,45.1637,"na","Undated",,"Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Langlais et al. 2018",,,,"x",,,,,,,,,"Western France","SWF",
"La Fosse",,"Late Laborian","LLab_SWF",4,0.4221,47.5602,"na","Undated",,"Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Naudinot and Jacquier 2014,Jacquier and Naudinot 2015,Naudinot 2010,2013",,,,"x",,,,"x",,,,"x","Western France","SWF",
"Le Camp d'Auvours",,"Late Laborian","LLab_SWF",4,0.2202,48.0022,"na","Undated",,"Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Naudinot 2010,2013",,,,"x",,,,"x",,,,,"Western France","SWF",
"Peyrazet (c4)",,"Upper Magdalenian","UMag_SWF",1,1.6108,44.9017,"MISSING","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Langlais and Laroulandie 2021","x",,,,,,,,,,,,"Western France","SWF",
"Murat (UA3)",,"Upper Magdalenian","UMag_SWF",1,1.5705,44.8039,"MISSING","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Fat Cheung and Langlais 2020","x",,,,,,,,,,,,"Western France","SWF",
"Bois Ragot (niv.5)",,"Upper Magdalenian","UMag_SWF",1,0.4156,46.2307,"15,500-14,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Chollet and Dujardin 2005","x",,,,"x",,,,"x",,,,"Western France","SWF",
"Klementowice 10",,"Magdalenian","Mag_PL",1,22.14915706,51.34101435,"15600-14500 calBP","Poz-54822 12730±90 BP-charcoal;","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Wiśniewski 2015","x",,,,"x",,,,"x",,,,"Poland","PL",
"Cmielow 95 ""Mały Gawroniec""",,"Magdalenian","Mag_PL",1,21.53464797,50.8828356,"15600-14500 calBP","typology","Reliable","Openair","Stratified","Secondary/relocated","Homogeneous","No","After 2000","Przeździecki et al. 2012","x",,,,"x",,,,"x",,,,"Poland","PL",
"Wierzawice 31",,"Magdalenian","Mag_PL",1,22.46240085,50.22233587,"15600-14500 calBP","typology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Bobak et al. 2010",,,,,,,,,,,,,"Poland","PL",
"Wilczyce 10",,"Magdalenian","Mag_PL",1,21.65624781,50.74282216,"15600-14500 calBP","Ua-15721 8415±100  AMS worked horse bone from 4-5 cm below base Ap; Poz-19047 11340±60  AMS charcoal (small sample); Ua-15720 11400± 135  AMS rhino tooth from 1-2 cm below Ap; Ua-15722 11665±135  AMS beaver tooth from 35 cm below Ap; Poz-19049 11870±120  AMS charcoal (small sample); Ua-15723 1189±105  AMS arctic fox bone from 55 cm below Ap; Poz-19046 11960 ±140  AMS charcoal (small sample); Ua-20412 12110±90  AMS bone; Ua-20413 12315±90  AMS ; Poz-14385 12390±100  AMS bone; Poz-14384 12480±70  AMS bone; Poz-14463 12550±80  AMS tooth; Poz-3926 12620±60  AMS bone; Poz-14892 12770±120  AMS very small pine charcoal fragment (minimal age); Poz-3927 12840±70  AMS bone; OxA-16729 12870±60  AMS infant's bone framents; Poz-3914 12960 60  AMS Charcoal; Poz-19048 13000 110  AMS charcoal (small sample); Poz-14891 13020 60  AMS charcoal; OxA-26546 13125 65  AMS tooth; OxA-26545 13155 65  AMS Ivory; OxA-16728 13180 60  AMS tooth from a necklace from the infant;","Reliable","Openair","Surface","Secondary/relocated","Homogeneous","Preseved","After 2000","Królik 2014","x",,,,"x",,,,"x",,,,"Poland","PL",
"Rydno ""Przy Torze""","cut II-1959","Magdalenian","Mag_PL",1,20.94926388,51.1154089,"15600-14500 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011","x",,,,"x",,,,"x",,,,"Poland","PL",
"Liny 1",,"Hamburgian","Ham_PL",1,15.8445360081,52.1131769036,"15500-14000 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Kobusiewicz 1973","x",,,,"x",,,,"x",,,,"Poland","PL",
"Mirkowice 33",,"Hamburgian","Ham_PL",1,17.4056351347,52.7735220745,"15500-14000 calBP","GrA-17715 12290±70 burnt bone","Reliable","Openair","Surface","Primary/insitu","Homogeneous","Preseved","1980-2000","Chłodnicki and Kabaciński 1997","x",,,,"x",,,,"x",,,,"Poland","PL",
"Olbrachcice 8",,"Hamburgian","Ham_PL",1,16.37515918,51.77589052,"15500-14000 calBP","Lod-111 12680±230BP-charcoal;","Reliable","Openair","Surface","Primary/insitu","Homogeneous","Preseved","1950-1980","Burdukiewicz 1980","x",,,,"x",,,,"x",,,,"Poland","PL",
"Rydno ""Sahara Cypel"" ","cut I-1988","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011",,"x",,,,"x",,,,,,,"Poland","PL",
"Rydno ""Sahara Cypel"" ","cut I-1990","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011",,"x",,,,"x",,,,,,,"Poland","PL",
"Rydno ""Sahara Cypel"" ","cut II-1989","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011",,"x",,,,"x",,,,"x",,,"Poland","PL",
"Rydno ""Sahara Cypel"" ","cut III-1990 concentration N","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011",,"x",,,,"x",,,,"x",,,"Poland","PL",
"Rydno ""Sahara Cypel"" ","cut III-1990 concentration S","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011",,,,,,"x",,,,"x",,,"Poland","PL",
"Rydno ","cut II-1990","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011",,,,,,"x",,,,,,,"Poland","PL",
"Calowanie","level III cut VII","Witowian","Wito_PL",2,21.34038387,52.01297944,"13600-13100 cal BP","GrN-5967 11380 95  Conv. 14C charcoal, species unidentified; Gd-4165 11470 200  Conv. 14C charcoal, species unidentified","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,,,,"x",,,,,,,"Poland","PL",
"Calowanie","level III cut X","Witowian","Wito_PL",2,21.34038387,52.01297944,"13600-13100 cal BP","GrN-5967 11380 95  Conv. 14C charcoal, species unidentified; Gd-4165 11470 200  Conv. 14C charcoal, species unidentified","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,,,,"x",,,,,,,"Poland","PL",
"Calowanie","level III cut XII","Witowian","Wito_PL",2,21.34038387,52.01297944,"13600-13100 cal BP","GrN-5967 11380 95  Conv. 14C charcoal, species unidentified; Gd-4165 11470 200  Conv. 14C charcoal, species unidentified","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,"x",,,,"x",,,,,,,"Poland","PL",
"Calowanie","level III cut XIII","Witowian","Wito_PL",2,21.34038387,52.01297944,"13600-13100 cal BP","GrN-5967 11380 95  Conv. 14C charcoal, species unidentified; Gd-4165 11470 200  Conv. 14C charcoal, species unidentified","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,"x",,,,"x",,,,,,,"Poland","PL",
"Lubrza 42",,"Witowian","Wito_PL",2,15.45686694,52.31635442,"13600-13100 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Kabaciński and Sobkowiak-Tabaka 2010",,"x",,,,"x",,,,,,,"Poland","PL",
"Nowa Biała 1",,"Witowian","Wito_PL",2,20.12488947,49.42907421,"13600-13100 cal BP","Poz-53553 11270±60 AMS charcoal from hearth","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Valde-Nowak and Kraszewska 2014",,"x",,,,"x",,,,,,,"Poland","PL",
"Rotnowo 18","cut I-1997-lower level","Witowian","Wito_PL",2,15.30020125,53.88613193,"13600-13100 cal BP","Poz-8308 11100±70, Poz-8310 11090±80 burnt bones from the hut","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Galiński 2007",,"x",,,,"x",,,,,,,"Poland","PL",
"Rydno ""Sahara""","cut I-1976","Witowian","Wito_PL",2,20.94926388,51.1154089,"13600-13100 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011",,"x",,,,"x",,,,"x",,,"Poland","PL",
"Rydno ""Sahara""","cut II-1976","Witowian","Wito_PL",2,20.94926388,51.1154089,"13600-13100 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011",,"x",,,,"x",,,,"x",,,"Poland","PL",
"Sromowce Niżne 1",,"Witowian","Wito_PL",2,20.40763154,49.40255084,"13600-13100 cal BP","typology","Reliable","Openair","Surface","Secondary/relocated","Homogeneous","No","1950-1980","Valde-Nowak and Kraszewska 2014",,"x",,,,"x",,,,"x",,,"Poland","PL",
"Calowanie","level IVb cut VII","Witowian","Wito_PL",2,21.34038386,52.01297943,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,"x",,,,,,,,,,"Poland","PL",
"Calowanie","level IVb cut IX West","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,"x",,,,"x",,,,,,"Poland","PL",
"Calowanie","level IVb cut IX East","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,"x",,,,"x",,,,"x",,"Poland","PL",
"Calowanie ","level IVb cut XI North","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,,,,,,,,,,,"Poland","PL",
"Calowanie ","level IVb cut XI Center","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,"x",,,,"x",,,,,,"Poland","PL",
"Calowanie","level IVb cut XI East","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,,,,,"x",,,,,,"Poland","PL",
"Calowanie","trench 19","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,,,,,,,,,,,"Poland","PL",
"Witow","level 5b assemblage 1","Witowian","Wito_PL",3,19.51750195,52.01168707,"13100-12600 cal BP","Gro-828 10815±160 charcoal","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Chmielewska 1978",,,"x",,,,"x",,,,"x",,"Poland","PL",
"Witow","level 5b assemblage 2","Witowian","Wito_PL",3,19.51750195,52.01168707,"13100-12600 cal BP","typology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Chmielewska 1978",,,"x",,,,,,,,"x",,"Poland","PL",
"Witow","level 5b assemblage 3","Witowian","Wito_PL",3,19.51750195,52.01168707,"13100-12600 cal BP","typology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Chmielewska 1978",,,"x",,,,"x",,,,,,"Poland","PL",
"Witow","level 5b assemblage 4","Witowian","Wito_PL",3,19.51750195,52.01168707,"13100-12600 cal BP","typology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Chmielewska 1978",,,"x",,,,"x",,,,"x",,"Poland","PL",
"Jaglisko 1",,"Brommean","Brom_PL",3,15.69342652,53.02040886,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Bagniewski 1997",,,"x",,,,"x",,,,"x",,"Poland","PL",
"Jaglisko 3",,"Brommean","Brom_PL",3,15.69342652,53.02040886,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Bagniewski 1997",,,"x",,,,"x",,,,"x",,"Poland","PL",
"Jaglisko 3a",,"Brommean","Brom_PL",3,15.69342652,53.02040886,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Bagniewski 1997",,,"x",,,,"x",,,,,,"Poland","PL",
"Legi 10",,"Brommean","Brom_PL",3,14.37603559,53.52254781,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Galiński 2006",,,"x",,,,,,,,,,"Poland","PL",
"Rotnowo 18 ","cut I-1997-upper level","Brommean","Brom_PL",3,15.30020125,53.88613193,"13100-12600 cal BP","Poz-Poz-8309 10820±80 burnt bones","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Galiński 2007",,,"x",,,,"x",,,,"x",,"Poland","PL",
"Rydno ""Pastwisko"" ","cut IV-1960","Brommean","Brom_PL",3,20.94926388,51.1154089,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011",,,"x",,,,,,,,,,"Poland","PL",
"Rydno ""Pastwisko"" ","cut XI-1961","Brommean","Brom_PL",3,20.94926388,51.1154089,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011",,,"x",,,,,,,,,,"Poland","PL",
"Szczecin-Bukowo 1",,"Brommean","Brom_PL",3,14.55695654,53.49463403,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Galiński 1997",,,"x",,,,,,,,"x",,"Poland","PL",
"Bohatery Lesne 2 ""Biale""",,"Perstunian","Perst_PL",3,23.52085988,53.7964726,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Szymczak 1995",,,"x",,,,"x",,,,,,"Poland","PL",
"Calowanie ","level IVa","Perstunian","Perst_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,"x",,,,"x",,,,,,"Poland","PL",
"Wolkusz 5 ""W sadzie""",,"Perstunian","Perst_PL",3,23.51948461,53.80865003,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Szymczak 1992",,,"x",,,,"x",,,,,,"Poland","PL",
"Burdeniszki 1 d-e",,"Wołkuszian","Wolk_PL",3,23.12897814,54.07712989,"12900-12600 calBP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Szymczak 1995",,,"x",,,,,,,,,,"Poland","PL",
"Burdeniszki 4",,"Wołkuszian","Wolk_PL",3,23.12897814,54.07712989,"12900-12600 calBP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Szymczak 1995",,,"x",,,,,,,,,,"Poland","PL",
"Burdeniszki 4a",,"Wołkuszian","Wolk_PL",3,23.12897814,54.07712989,"12900-12600 calBP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Szymczak 1995",,,"x",,,,,,,,,,"Poland","PL",
"Calowanie level V","cut IX","Wołkuszian","Wolk_PL",4,23.12897815,54.0771299,"12900-12600 calBP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014",,,"x",,,,"x",,,,,,"Poland","PL",
"Calowanie level V","cut XI","Wołkuszian","Wolk_PL",3,21.34038387,52.01297944,"12900-12600 calBP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1981","Schild et al. 2014",,,"x",,,,"x",,,,"x",,"Poland","PL",
